Tomatoes,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Organic,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Beefsteak Tomatoes - 0.3 Pound,0.6,0.6,0.3,0.3 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Nature Fresh Organic Red Hiiros Cherry Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,Nature fresh,True,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Roma Tomatoes 1 Lb Bag - 1 Each,2.99,2.99,1.0,1 lb bag,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic On The Vine Cluster Tomatoes - 1.5 Pound,5.99,5.99,1.5,1.5 lb,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Flavor Bombs Cherry Tomatoes On The Vine - 12 Ounce,4.99,4.99,0.75,12 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Grape Tomatoes Pint - 1 Each,3.99,3.99,,pint - 1 each,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Wild Wonders Tomatoes - 12 Ounce,3.99,3.99,0.75,12 oz,Wild wonders,,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Nature Sweet Cherub Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,Nature sweet,,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Darkloom Tomato - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Sangria Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
On The Vine Cluster Tomatoes - 0.8 Pound,1.59,1.59,0.8,0.8 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Organic Beefsteak Tomatoes - 10 Ounce,3.99,3.99,0.625,10 oz,,True,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Grape Tomatoes Pint - 1 Each,2.99,2.99,,pint - 1 each,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Cocktail Tomatoes (campari) - 16 Ounce,2.5,3.99,1.0,16 oz,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Heirloom Tomatoes - 0.8 Pound,3.99,3.99,0.8,0.8 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Grape Tomatoes - 1.5 Pound,4.99,4.99,1.5,1.5 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
Roma Tomatoes - 0.75 Pound,0.74,1.19,0.75,0.75 lb,,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Tomatoes&take=48&f=Category%3AFresh+Vegetables,Fresh Thyme 
TOMATOES KALEIDOS,5.99,5.99,0.75,Size: 12oz,Wholesum harvest,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28349,Gateway Market 
TOMATOES OG,2.99,2.99,,$1.20/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22501,Gateway Market 
TOMATO POPPIES OG,5.99,5.99,0.75,Size: 12 OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11861,Gateway Market 
TOMATOES DARLING OG,5.99,5.99,0.75,Size: 12 OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-26358,Gateway Market 
TOMATO ROMA ORGANIC,2.49,2.49,,$0.62/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22515,Gateway Market 
TOMATO ON VINE OG,3.49,3.49,,$1.22/ea avg Average per unit price,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22617,Gateway Market 
TOMATOES HEIRLOOM CHERRY MIX,5.99,5.99,,Size: 1 PINT,Del cabo,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11820,Gateway Market 
CHERRY TOMATO,2.99,2.99,,Size: 1 PINT,Sunnyvalley,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11756,Gateway Market 
TOMATOES CHERRY LOCAL,5.99,5.99,,Size: 1 PT,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22341,Gateway Market 
TOMATOES HEIRLOOM LOCAL,6.49,6.49,1.0,6.49/lb,,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22343,Gateway Market 
TOMATOES CHERRY BRITES,5.99,5.99,0.75,Size: 12 OZ.,Wholesum,,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-28492,Gateway Market 
GOLD PLUM TOMATOES,5.99,5.99,1.0,Size: 16 OZ,Del cabo,,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29803,Gateway Market 
TOMATO GRAPE DARLING OG,5.99,5.99,0.75,Size: 12 OZ,Wholesum harvest,True,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11787,Gateway Market 
TOMATO EVA PURPLE BALL,2.99,2.99,,Size: 1 CT,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35543,Gateway Market 
TOMATO GERMAN PINK,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11972,Gateway Market 
TOMATO ITAL HEIRLOOM,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11973,Gateway Market 
TOMATO NEB WEDDING,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-11975,Gateway Market 
TOMATO MORT LIFTER,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-12014,Gateway Market 
TOMATO GREEN ZEBRA,2.99,2.99,,2.99/ea,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-43100,Gateway Market 
TOMATO GRAPE FRENZY OG,4.99,4.99,0.625,Size: 10OZ,,True,,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35365,Gateway Market 
SEED SAVERS EXCHANGE SEEDS CHERRY ROMA TOMATO,2.99,2.99,,Size: 1 CT,Seed savers,,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-35542,Gateway Market 
Roma Tomatoes,0.45,0.5,0.25,0.25 lbs (1.79/lb),,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/8657/Roma-Tomatoes,Hyvee 
Tomatoes on the Vine,0.74,0.9,0.3,0.30 lbs (2.48/lb),,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/8824/Tomatoes-on-the-Vine,Hyvee 
Basket & Bushel Grape Tomatoes,3.19,3.32,,1 pint Clam Shell,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538538/Basket-And-Bushel-Grape-Tomatoes,Hyvee 
Basket & Bushel Gourmet Medley Tomatoes,2.99,3.99,,1 pint Container,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538540/Basket-And-Bushel-Gourmet-Medley-Tomatoes,Hyvee 
NatureSweet Cherub Tomatoes,3.49,4.49,0.65625,10.5 oz,,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2973805/NatureSweet-Cherub-Tomatoes,Hyvee 
Greenhouse Tomatoes,1.25,1.5,0.5,0.50 lbs (2.49/lb),,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/8854/Greenhouse-Tomatoes,Hyvee 
Angel Sweet Tomatoes Snack Cup,4.19,4.19,0.625,10 oz Container,Angel sweet,,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3758077/Angel-Sweet-Tomatoes-Snack-Cup,Hyvee 
Nature Sweet Cherubs,8.39,8.99,1.5,24 oz Plastic Container,Nature sweet,,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/793206/Nature-Sweet-Cherubs,Hyvee 
Full Circle Market Organic Grape Tomatoes,4.19,4.19,,1 pt,Full circle market,True,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3128235/Full-Circle-Market-Organic-Grape-Tomatoes,Hyvee 
Sunset Campari Tomatoes,6.29,6.29,1.0,1 lb Clamshell,Sunset,,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/410515/Sunset-Campari-Tomatoes,Hyvee 
Sunset Flavor Bombs Cherry Tomatoes on Vine,6.29,6.29,0.75,12 oz Clam Shell,Sunset,,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3009875/Sunset-Flavor-Bombs-Cherry-Tomatoes-on-Vine,Hyvee 
Basket & Bushel One Sweet Tomatoes,2.99,3.99,,1 pint Container,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538539/Basket-And-Bushel-One-Sweet-Tomatoes,Hyvee 
Basket & Bushel Grape Tomatoes,6.29,6.99,1.5,24 oz Container,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538537/Basket-And-Bushel-Grape-Tomatoes,Hyvee 
Heirloom Tomatoes,2.1,2.5,0.5,0.50 lbs (4.19/lb),,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/37174/Heirloom-Tomatoes,Hyvee 
Sugar Bomb Tomatoes,6.29,6.29,0.75,12 oz Package,,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2850121/Sugar-Bomb-Tomatoes,Hyvee 
Basket & Bushel Zima Tomatoes,4.19,4.19,,1 pint Container,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538541/Basket-And-Bushel-Zima-Tomatoes,Hyvee 
Basket & Bushel Mini Kumato Tomatoes,4.19,4.19,,1 pint Container,Basket & bushel,,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3538542/Basket-And-Bushel-Mini-Kumato-Tomatoes,Hyvee 
"Sunset Tomatoes, Organic, Campari",6.29,6.29,0.75,12 oz Clamshell,Sunset,True,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/491714/Sunset-Tomatoes-Organic-Campari,Hyvee 
Cherry Tomatoes,3.19,3.99,,1 pt,,,,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/37463/Cherry-Tomatoes,Hyvee 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936,New Pioneer Co-Op 
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936,New Pioneer Co-Op 
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936,New Pioneer Co-Op 
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736,New Pioneer Co-Op 
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936,New Pioneer Co-Op 
Organic Slicer Tomatoes,3.99,3.99,1.0,$3.99/lb,,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936,New Pioneer Co-Op 
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,,True,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936,New Pioneer Co-Op 
Heirloom Tomatoes,4.49,4.49,1.0,$4.49/lb,,,,22 South Van Buren Street,IA,Iowa City,52240,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736,New Pioneer Co-Op 
Organic On-The-Vine Tomato,3.99,3.99,1.0,$3.99/lb,,True,,1101 2nd St,IA,Coralville,52241,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_on_the_vine_tomato/p/2313397#!/?department_id=1322936,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,1101 2nd St,IA,Coralville,52241,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_slicer_tomatoes/p/7783644#!/?department_id=1322936,New Pioneer Co-Op 
Tomatillos,3.99,3.99,1.0,$3.99/lb,,,,1101 2nd St,IA,Coralville,52241,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=1322936,New Pioneer Co-Op 
Organic Darling Grape Tomatoes,5.99,5.99,0.75,12 oz,,True,,1101 2nd St,IA,Coralville,52241,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/organic_darling_grape_tomatoes/p/1564405684690758978#!/?department_id=1322936,New Pioneer Co-Op 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,1101 2nd St,IA,Coralville,52241,2023-07-03,https://shop.newpi.coop/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/2311736,New Pioneer Co-Op 
Roma Tomatoes,1.59,1.59,1.0,$1.59/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/roma_tomatoes/p/12447#!/?department_id=22508184,Russ Market 
Tomatoes On The Vine,2.49,2.49,1.0,$2.49/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_on_the_vine/p/2311660#!/?department_id=22508184,Russ Market 
Tomatoes Grape,2.49,2.49,,1 pt,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_grape/p/1564405684709718017#!/?department_id=22508184,Russ Market 
Nature Sweet Cherubs Heavenly Salad Tomatoes 10 Oz,4.49,4.49,0.625,10 oz,Nature sweet,,Non-local,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_cherubs_heavenly_salad_tomatoes_10_oz/p/1564405684704878585#!/?department_id=22508184,Russ Market 
On Vine Cherry Tomatoes,1.99,2.99,0.5625,9 oz,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/on_vine_cherry_tomatoes/p/645688#!/?department_id=22508184,Russ Market 
*Org*Cherry Tomatoes,3.49,3.49,,1 pt,,True,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/org_cherry_tomatoes/p/151480#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/red_sun_farms_sweet_pops_tomatoes_10_oz/p/1564405684704089139#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_tomatoes_fresh_ingredient_10_oz/p/1564405684704878584#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/naturesweet_constellation_tomatoes/p/1564405684705657728#!/?department_id=22508184,Russ Market 
"Regular Red Tomato, Large",2.49,2.49,1.0,$2.49/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/regular_red_tomato_large/p/12409#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomato_on_the_vine_organic/p/2313397#!/?department_id=22508184,Russ Market 
Beefsteak Tomato,2.49,2.49,1.0,$2.49/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/beefsteak_tomato/p/111605#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/red_cocktail_intermediate_tomatoes/p/78471#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/yellow_tomatoes/p/2311723#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/nature_sweet_cherry_tomatoes_on_the_vine_d_vines/p/1564405684704300013#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatoes_hot_house/p/12571#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/organic_grape_tomatoes/p/6830116#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/signature_brand_organics_grape_tomatoes_organic/p/23476#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/real_grape_tomatoes/p/2456990#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/organic_grape_tomatoes/p/8036367#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/sweet_pops_red_chry_snacking_tomato/p/1564405684705309980#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/redsun_tomatoes_cocktail/p/645689#!/?department_id=22508184,Russ Market 
Heirloom Tomatoes,3.99,3.99,1.0,$3.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/heirloom_tomatoes/p/12412#!/?department_id=22508184,Russ Market 
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of Stock,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/heritage_tomatoes/p/1564405684712593332#!/?department_id=22508184,Russ Market 
Tomatillos,1.99,1.99,1.0,$1.99/lb,,,,900 South Locust Street,IA,Glenwood,51534,2023-07-03,https://www.russmarket.com/shop/produce/fresh_vegetables/tomatoes/tomatillos/p/12573#!/?department_id=22508184,Russ Market 
