Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Fresh Thyme Cage Free Organic Medium Grade A Brown Eggs - 1.5 Each,6.99,6.99,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1.5 Each,5.49,5.49,1.5,1.5 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A White Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Large Grade A Brown Eggs - 1 Each,3.99,3.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Cage Free Jumbo Grade A Brown Eggs - 1 Each,4.79,4.79,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Cage Free Large Brown Eggs - 1 Each,5.29,5.29,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Eggland's Best Organic Large Brown Eggs - 1 Each,6.99,6.99,1.0,1 dz,Eggland's best,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Born Free Large Brown Free Range Eggs - 12 Each,5.49,5.49,1.0,1 dz,Born free,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Heritage Breed Eggs - 1 Each,7.49,8.99,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,5.49,6.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Free Range Eggs 18ct - 1.5 Each,7.99,8.99,1.5,1.5 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Penny Smart Large Grade A White Eggs - 1 Each,2.99,2.99,1.0,1 dz,Penny smart,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,6.99,7.49,1.0,1 dz,Happy egg,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Pasture Raised Large Eggs - 1 Each,6.49,8.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,7.49,9.99,1.0,1 dz,Vital farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,5.99,5.99,1.0,1 dz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,5.99,6.49,1.0,1 dz,Handsome brook farm,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,41.599391,-93.74430749999999,Fresh Thyme ,2023-07-10,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Eggs&take=48&f=Category%3AEggs
EGGS ORGANIC,5.49,5.49,1.0,Size: DOZEN,Stateline,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22775
EGGS FREE RANGE,4.99,4.99,1.0,Size: DOZEN,Stateline,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-22776
ORGANIC LARGE BROWN EGGS,3.99,3.99,0.5,Size: 6 CT,Organic valley,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,41.5876654,-93.6442259,Gateway Market ,2023-07-10,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-12603
Hy-Vee Grade A Large Eggs,2.09,2.39,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57236/HyVee-Grade-A-Large-Eggs
Hy-Vee Grade A Large Eggs,3.19,3.19,1.5,18 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23899/HyVee-Grade-A-Large-Eggs
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,6.29,6.29,1.0,12 ct Carton,Farmers hen house,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/715446/Farmers-Hen-House-Free-Range-Organic-Large-Brown-Grade-A-Eggs
That's Smart! Large Shell Eggs,1.79,1.79,1.0,12 ct,That's smart,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2849570/Thats-Smart-Large-Shell-Eggs
Farmers Hen House Free Range Grade A Large Brown Eggs,5.29,5.29,1.0,12 ct Carton,Farmers hen house,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/31351/Farmers-Hen-House-Free-Range-Grade-A-Large-Brown-Eggs
Hy-Vee Grade A Extra Large Eggs,3.49,3.49,1.5,18 ct Carton,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23900/HyVee-Grade-A-Extra-Large-Eggs
Egglands Best Farm Fresh Grade A Large Eggs,6.29,6.29,1.5,18 ct,Egglands best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/71297/Egglands-Best-Farm-Fresh-Grade-A-Large-Eggs
Eggland's Best Grade A Large Eggs,4.19,4.19,1.0,12 ct,Eggland's best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/36345/Egglands-Best-Grade-A-Large-Eggs
Hy-Vee Free Range Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3192325/HyVee-Free-Range-Large-Brown-Egg-Grade-A
Hy-Vee Grade A Jumbo Eggs,2.89,2.89,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23903/HyVee-Grade-A-Jumbo-Eggs
Hy-Vee Cage Free Large Brown Egg Grade A,6.29,6.29,1.5,18 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3192323/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
Eggland's Best Cage Free Brown Grade A Large Eggs,4.49,5.49,1.0,12 ct,Eggland's best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/36346/Egglands-Best-Cage-Free-Brown-Grade-A-Large-Eggs
Hy-Vee Cage Free Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3192322/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,4.19,4.19,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/858343/HyVee-Cage-Free-Omega3-Grade-A-Large-Brown-Eggs
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,7.39,7.39,1.0,12 ct Carton,Farmers hen house,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/1901565/Farmers-Hen-House-Pasture-Raised-Organic-Grade-A-Large-Brown-Eggs
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.79,5.79,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/60364/HyVee-HealthMarket-Organic-Grade-A-Large-Eggs
Eggland's Best Extra Large Eggs,4.49,4.49,1.0,12 ct,Eggland's best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/71298/Egglands-Best-Extra-Large-Eggs
Hy-Vee Grade A Extra Large Eggs,2.69,2.69,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/23902/HyVee-Grade-A-Extra-Large-Eggs
Egglands Best XL Eggs,6.59,6.59,1.5,18 ct,Egglands best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/453006/Egglands-Best-XL-Eggs
Hy-Vee One Step Pasture Raised Large Brown Eggs,5.29,5.29,1.0,1 dz,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2668550/HyVee-One-Step-Pasture-Raised-Large-Brown-Eggs
Farmers Hen House Jumbo Brown Eggs,5.29,5.29,1.0,12 ct,Farmers hen house,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/66622/Farmers-Hen-House-Jumbo-Brown-Eggs
"Nellie's Eggs, Brown, Free Range, Large",8.39,8.39,1.5,18 ct,Nellie's,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/3274825/Nellies-Eggs-Brown-Free-Range-Large
Hy-Vee Grade A Medium Eggs,1.99,1.99,1.0,12 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57235/HyVee-Grade-A-Medium-Eggs
"Pete And Gerry's Eggs, Organic, Brown, Free Range, Large",7.39,7.39,1.0,12 ct,Pete and gerry's eggs,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2437128/Pete-And-Gerrys-Eggs-Organic-Brown-Free-Range-Large
Eggland's Best Organic Cage Free Grade A Large Brown Eggs,$NaN,,1.0,12 ct,Eggland's best,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/36347/Egglands-Best-Organic-Cage-Free-Grade-A-Large-Brown-Eggs
Nellie's Free Range Eggs Large Fresh Brown Grade A,6.29,6.29,1.0,12 ct,Nellie's,Non-local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/2698224/Nellies-Free-Range-Eggs-Large-Fresh-Brown-Grade-A
Hy-Vee Grade A Large Eggs,1.39,1.39,0.5,6 ct,Hy-vee,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/57237/HyVee-Grade-A-Large-Eggs
Farmers Hen House Organic Large Brown Eggs,3.69,3.69,0.5,6 ct,Farmers hen house,Local,,,,,,,Hyvee ,2023-07-10,https://www.hy-vee.com/aisles-online/p/190508/Farmers-Hen-House-Organic-Large-Brown-Eggs
"CRF Free Range Eggs, Large - Dozen",5.0,5.0,1.0,1 dz,Cedar ridge farm,Local,200 Railroad Street,IA,Decorah,52101,43.2981483,-91.7879021,Iowa Food Hub ,2023-07-10,https://iowa-food-hub.myshopify.com/products/free-range-eggs?_pos=1&_sid=a4d4577a6&_ss=r
"KMA Farm Fresh Eggs, 1 dozen",4.25,4.25,1.0,1 dz,Kymar acres,Local,200 Railroad Street,IA,Decorah,52101,43.2981483,-91.7879021,Iowa Food Hub ,2023-07-10,https://iowa-food-hub.myshopify.com/products/kma-farm-fresh-eggs-1-dozen?_pos=4&_sid=a4d4577a6&_ss=r
Free range eggs,5.0,5.0,1.0,1 dz,Joia food farm,Local,2038 March Avenue,IA,Charles City,50616,43.063764,-92.786096,Joia Food Farm ,2023-07-10,https://www.joiafoodfarm.com/farmstore/1mln8u54udaby8zgy3me268ekeos07
Duck eggs,6.0,6.0,0.5,0.5 dz,Joia food farm,Local,2038 March Avenue,IA,Charles City,50616,43.063764,-92.786096,Joia Food Farm ,2023-07-10,https://www.joiafoodfarm.com/farmstore/duck-eggs
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1.0,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597
