Eggs,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Latitude,Longitude,Store,Date Collected,Url
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142
Vital Farms Large Pasture-Raised Eggs 12 ea,7.99,7.99,1.0,12 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128
"Vital Farms Eggs, Pasture-Raised, Large 18 ea",10.99,10.99,1.5,18 ea,Vital farms,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196
Organic Valley Free Range Brown Large Eggs 12 ea,5.99,5.99,1.0,12 ea,Organic valley,Non-local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765
Cedar Ridge Farm Grade A Extra Large Eggs,5.99,5.99,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_extra_large_eggs/p/1564405684704338617
Steinecke Family Farm Duck Eggs,5.99,5.99,0.5,6 pk,Steinecke family farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/steinecke_family_farm_duck_eggs/p/1564405684711593802
Cosgrove Rd Farm Eggs Pasture Raised,5.99,5.99,1.0,dozen,Cosgrove rd farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cosgrove_rd_farm_eggs_pasture_raised/p/1564405684710338102
Cedar Ridge Farm Grade A Jumbo Eggs,6.49,6.49,1,1 dozen,Cedar ridge farm,Local,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_jumbo_eggs/p/1564405684704338619
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_large/p/1564405684704684702
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,3338 Center Point Road Northeast,IA,Cedar Rapids,52402,42.0125766,-91.663544,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_medium/p/1564405684713746940
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1,1 dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123
Hotz Eggs Dozen Xtra Large,4.99,4.99,1,1 dozen,Hotz eggs,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142
Vital Farms Large Pasture-Raised Eggs 12 ea,7.99,7.99,1.0,12 ea,Vital farms,Non-local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128
"Vital Farms Eggs, Pasture-Raised, Large 18 ea",10.99,10.99,1.5,18 ea,Vital farms,Non-local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196
Organic Valley Free Range Brown Large Eggs 12 ea,5.99,5.99,1.0,12 ea,Organic valley,Non-local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765
Cedar Ridge Farm Grade A Extra Large Eggs,5.99,5.99,1,1 dozen,Cedar ridge farm,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_extra_large_eggs/p/1564405684704338617
Steinecke Family Farm Duck Eggs,5.99,5.99,0.5,6 pk,Steinecke family farm,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/steinecke_family_farm_duck_eggs/p/1564405684711593802
Cosgrove Rd Farm Eggs Pasture Raised,5.99,5.99,1.0,dozen,Cosgrove rd farm,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cosgrove_rd_farm_eggs_pasture_raised/p/1564405684710338102
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_jumbo_eggs/p/1564405684704338619
Hotz Eggs Large,3.99,3.99,1,1 dozen,Hotz eggs,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_large/p/1564405684704684702
Hotz Eggs Medium,3.99,3.99,1,1 dozen,Hotz eggs,Local,22 South Van Buren Street,IA,Iowa City,52240,41.6605299,-91.5283829,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_medium/p/1564405684713746940
"Farmers Hen House Eggs, Grade A, Free Range, Large Brown 12 ea",3.99,3.99,1.0,12 ea,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_grade_a_free_range_large_brown_12_ea/p/7110637
"Farmers Hen House Eggs, White, Cage-Free, Large",3.49,3.49,1.0,12 ea,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_white_cage_free_large/p/7110638
Farmers Hen House Eggs Large Brown Free Range,5.49,5.49,1,1 dozen,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/7613595
"Vital Farms Eggs, Organic, Pasture Raised, Large 12 ea",8.99,8.99,1.0,12 ea,Vital farms,Non-local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_eggs_organic_pasture_raised_large_12_ea/p/5637123
Hotz Eggs Dozen Xtra Large,4.99,4.99,1,1 dozen,Hotz eggs,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_dozen_xtra_large/p/1564405684714084840
Farmers Hen House Eggs Jumbo Brown,5.99,5.99,1,1 dozen,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/farmers_hen_house_eggs_jumbo_brown/p/7613596
Cedar Ridge Farm Grade A Large Eggs,5.49,5.49,1,1 dozen,Cedar ridge farm,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_large_eggs/p/1564405684704338616
Farmers Hen House Eggs Og Pasture Lrg Brwn,6.99,6.99,1.0,12 ea,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_og_pasture_lrg_brwn/p/7613597
Farmers Hen House Eggs Large Brown Free Range,2.79,2.79,1.0,half dozen,Farmers hen house,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/farmers_hen_house_eggs_large_brown_free_range/p/1564405684703497142
Vital Farms Large Pasture-Raised Eggs 12 ea,7.99,7.99,1.0,12 ea,Vital farms,Non-local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/vital_farms_large_pasture_raised_eggs_12_ea/p/5323128
"Vital Farms Eggs, Pasture-Raised, Large 18 ea",10.99,10.99,1.5,18 ea,Vital farms,Non-local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/vital_farms_eggs_pasture_raised_large_18_ea/p/1564405684690018196
Organic Valley Free Range Brown Large Eggs 12 ea,5.99,5.99,1.0,12 ea,Organic valley,Non-local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/organic/organic_valley_free_range_brown_large_eggs_12_ea/p/48765
Cedar Ridge Farm Grade A Extra Large Eggs,5.99,5.99,1,1 dozen,Cedar ridge farm,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_extra_large_eggs/p/1564405684704338617
Steinecke Family Farm Duck Eggs,5.99,5.99,0.5,6 pk,Steinecke family farm,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/steinecke_family_farm_duck_eggs/p/1564405684711593802
Cosgrove Rd Farm Eggs Pasture Raised,5.99,5.99,1.0,dozen,Cosgrove rd farm,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cosgrove_rd_farm_eggs_pasture_raised/p/1564405684710338102
Cedar Ridge Farm Grade A Jumbo Eggs,6.49,6.49,1,1 dozen,Cedar ridge farm,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/cage_free/cedar_ridge_farm_grade_a_jumbo_eggs/p/1564405684704338619
Hotz Eggs Large,3.99,3.99,1,1 dozen,Hotz eggs,Local,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_large/p/1564405684704684702
Sorry!,Out of Stock,Out of Stock,Out of Stock,Out of Stock,Out of stock,,1101 2nd St,IA,Coralville,52241,41.6744321,-91.580342,New Pioneer Co-Op ,2023-07-10,https://shop.newpi.coop/shop/refrigerated/eggs/hotz_eggs_medium/p/1564405684713746940
Best Choice Grade A Large Eggs,2.19,2.19,1.0,1 dz,Best choice,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/best_choice_grade_a_large_eggs/p/3139172
Best Choice Large Eggs,3.29,3.29,1.5,18 pack,Best choice,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/best_choice_large_eggs/p/3139176
Best Choice Jumbo Eggs,2.39,2.39,1.0,1 dz,Best choice,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/best_choice_jumbo_eggs/p/3139173
Best Choice Extra Large Eggs,2.29,2.29,1.0,1 dozen,Best choice,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/best_choice_extra_large_eggs/p/3139174
Best Choice Large Eggs,8.69,8.69,2.5,30 pack,Best choice,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/best_choice_large_eggs/p/3139192
Eggland's Best Large Eggs 12 Ea,3.89,3.89,1.0,12 ct,Eggland's best,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/eggland_s_best_large_eggs_12_ea/p/54283
Eggland's Best Large Eggs 18 Ea,5.79,5.79,1.5,18 ea,Eggland's best,Non-local,900 South Locust Street,IA,Glenwood,51534,41.0391826,-95.7465211,Russ Market ,2023-07-10,https://www.russmarket.com/shop/dairy/eggs/everyday/eggland_s_best_large_eggs_18_ea/p/54279
