Egg,Current Price,Orignal Price,Amount in dz,True Amount,Brand,Local,Address,State,City,Zip Code,Date Collected,Url
Hy-Vee Grade A Large Eggs,2.09,2.39,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/57236/HyVee-Grade-A-Large-Eggs
Hy-Vee Grade A Large Eggs,3.19,3.19,1.5,18 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/23899/HyVee-Grade-A-Large-Eggs
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,6.29,6.29,1.0,12 ct Carton,Farmers hen house,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/715446/Farmers-Hen-House-Free-Range-Organic-Large-Brown-Grade-A-Eggs
That's Smart! Large Shell Eggs,1.79,1.79,1.0,12 ct,That's smart,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/2849570/Thats-Smart-Large-Shell-Eggs
Farmers Hen House Free Range Grade A Large Brown Eggs,5.29,5.29,1.0,12 ct Carton,Farmers hen house,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/31351/Farmers-Hen-House-Free-Range-Grade-A-Large-Brown-Eggs
Hy-Vee Grade A Extra Large Eggs,3.49,3.49,1.5,18 ct Carton,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/23900/HyVee-Grade-A-Extra-Large-Eggs
Egglands Best Farm Fresh Grade A Large Eggs,6.29,6.29,1.5,18 ct,Egglands best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/71297/Egglands-Best-Farm-Fresh-Grade-A-Large-Eggs
Eggland's Best Grade A Large Eggs,4.19,4.19,1.0,12 ct,Eggland's best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/36345/Egglands-Best-Grade-A-Large-Eggs
Hy-Vee Free Range Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/3192325/HyVee-Free-Range-Large-Brown-Egg-Grade-A
Hy-Vee Grade A Jumbo Eggs,2.89,2.89,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/23903/HyVee-Grade-A-Jumbo-Eggs
Hy-Vee Cage Free Large Brown Egg Grade A,6.29,6.29,1.5,18 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/3192323/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
Eggland's Best Cage Free Brown Grade A Large Eggs,5.79,5.79,1.0,12 ct,Eggland's best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/36346/Egglands-Best-Cage-Free-Brown-Grade-A-Large-Eggs
Hy-Vee Cage Free Large Brown Egg Grade A,4.19,4.19,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/3192322/HyVee-Cage-Free-Large-Brown-Egg-Grade-A
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,4.19,4.19,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/858343/HyVee-Cage-Free-Omega3-Grade-A-Large-Brown-Eggs
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,7.39,7.39,1.0,12 ct Carton,Farmers hen house,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/1901565/Farmers-Hen-House-Pasture-Raised-Organic-Grade-A-Large-Brown-Eggs
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.79,5.79,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/60364/HyVee-HealthMarket-Organic-Grade-A-Large-Eggs
Eggland's Best Extra Large Eggs,4.49,4.49,1.0,12 ct,Eggland's best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/71298/Egglands-Best-Extra-Large-Eggs
Hy-Vee Grade A Extra Large Eggs,2.69,2.69,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/23902/HyVee-Grade-A-Extra-Large-Eggs
Egglands Best XL Eggs,6.59,6.59,1.5,18 ct,Egglands best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/453006/Egglands-Best-XL-Eggs
Hy-Vee One Step Pasture Raised Large Brown Eggs,5.29,5.29,1.0,1 dz,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/2668550/HyVee-One-Step-Pasture-Raised-Large-Brown-Eggs
Farmers Hen House Jumbo Brown Eggs,5.29,5.29,1.0,12 ct,Farmers hen house,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/66622/Farmers-Hen-House-Jumbo-Brown-Eggs
"Nellie's Eggs, Brown, Free Range, Large",8.39,8.39,1.5,18 ct,Nellie's,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/3274825/Nellies-Eggs-Brown-Free-Range-Large
Hy-Vee Grade A Medium Eggs,1.99,1.99,1.0,12 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/57235/HyVee-Grade-A-Medium-Eggs
"Pete And Gerry's Eggs, Organic, Brown, Free Range, Large",7.39,7.39,1.0,12 ct,Pete and gerry's eggs,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/2437128/Pete-And-Gerrys-Eggs-Organic-Brown-Free-Range-Large
Eggland's Best Organic Cage Free Grade A Large Brown Eggs,7.19,7.19,1.0,12 ct,Eggland's best,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/36347/Egglands-Best-Organic-Cage-Free-Grade-A-Large-Brown-Eggs
Nellie's Free Range Eggs Large Fresh Brown Grade A,6.29,6.29,1.0,12 ct,Nellie's,Non-local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/2698224/Nellies-Free-Range-Eggs-Large-Fresh-Brown-Grade-A
Hy-Vee Grade A Large Eggs,1.39,1.39,0.5,6 ct,Hy-vee,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/57237/HyVee-Grade-A-Large-Eggs
Farmers Hen House Organic Large Brown Eggs,3.69,3.69,0.5,6 ct,Farmers hen house,Local,NA,NA,NA,NA,2023-06-27,https://www.hy-vee.com/aisles-online/p/190508/Farmers-Hen-House-Organic-Large-Brown-Eggs
