,Bacon,Current Price,Sale,Weight,Url
0,Hormel Black Label Thick Cut Bacon,$8.39,,16 oz,https://www.hy-vee.com/aisles-online/p/11315/Hormel-Black-Label-Thick-Cut-Bacon
1,Hormel Black Label Fully Cooked Original Thick Cut Bacon,$3.99,was $5.49,2.52 oz,https://www.hy-vee.com/aisles-online/p/47128/Hormel-Black-Label-Fully-Cooked-Original-Thick-Cut-Bacon
2,Applegate Naturals Uncured Sunday Bacon Hickory Smoked,$5.48,was $6.49,8 oz,https://www.hy-vee.com/aisles-online/p/41626/Applegate-Naturals-Uncured-Sunday-Bacon-Hickory-Smoked
3,Hy-Vee Double Smoked Thick Sliced Bacon,$4.79,was $6.99,16 oz Pack,https://www.hy-vee.com/aisles-online/p/57278/HyVee-Double-Smoked-Thick-Sliced-Bacon
4,Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,$5.48,was $6.49,8 oz Pack,https://www.hy-vee.com/aisles-online/p/2405550/Applegate-Naturals-No-Sugar-Uncured-Bacon-Hickory-Smoked
5,Hy-Vee Sweet Smoked Bacon,$4.79,was $6.99,16 oz Package,https://www.hy-vee.com/aisles-online/p/57279/HyVee-Sweet-Smoked-Bacon
6,Hormel Black Label Original Bacon,$8.39,,16 oz Pack,https://www.hy-vee.com/aisles-online/p/11366/Hormel-Black-Label-Original-Bacon
7,Jimmy Dean Premium Hickory Smoked Bacon,$4.19,was $6.49,12 oz Package,https://www.hy-vee.com/aisles-online/p/2455081/Jimmy-Dean-Premium-Hickory-Smoked-Bacon
8,"Farmland Bacon, Double Smoked, Double Thick Cut",$7.39,,12 oz,https://www.hy-vee.com/aisles-online/p/3595492/Farmland-Bacon-Double-Smoked-Double-Thick-Cut
9,Hormel Black Label Center Cut Bacon,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/47117/Hormel-Black-Label-Center-Cut-Bacon
10,Hy-Vee Center Cut Bacon,$4.79,was $6.99,12 oz Pack,https://www.hy-vee.com/aisles-online/p/57277/HyVee-Center-Cut-Bacon
11,Country Smokehouse Thick Applewood Slab Bacon,$4.99/lb,was $8.99/lb,1 lb,https://www.hy-vee.com/aisles-online/p/2199424/Country-Smokehouse-Thick-Applewood-Slab-Bacon
12,Hormel Black Label Original Bacon,$7.39,,12 oz Package,https://www.hy-vee.com/aisles-online/p/77228/Hormel-Black-Label-Original-Bacon
13,Farmland Naturally Hickory Smoked Classic Cut Bacon,$7.39,,16 oz,https://www.hy-vee.com/aisles-online/p/21239/Farmland-Naturally-Hickory-Smoked-Classic-Cut-Bacon
14,Jimmy Dean Premium Applewood Smoked Bacon,$4.19,was $6.49,12  oz,https://www.hy-vee.com/aisles-online/p/2456254/Jimmy-Dean-Premium-Applewood-Smoked-Bacon
15,Farmland Naturally Hickory Smoked Thick Cut Bacon,$7.39,,16 oz,https://www.hy-vee.com/aisles-online/p/21240/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon
16,Hormel Black Label Original Bacon 4Pk,$7.99,was $9.99,12 oz Box,https://www.hy-vee.com/aisles-online/p/47159/Hormel-Black-Label-Original-Bacon-4Pk
17,Oscar Mayer Naturally Hardwood Smoked Bacon,$6.29,was $8.99,16 oz Pack,https://www.hy-vee.com/aisles-online/p/50315/Oscar-Mayer-Naturally-Hardwood-Smoked-Bacon
18,Oscar Mayer Center Cut Original Bacon,$6.29,was $8.99,12 oz Pack,https://www.hy-vee.com/aisles-online/p/50321/Oscar-Mayer-Center-Cut-Original-Bacon
19,Oscar Mayer Thick Cut Bacon,$6.29,was $8.99,16 oz Package,https://www.hy-vee.com/aisles-online/p/50316/Oscar-Mayer-Thick-Cut-Bacon
20,Country Smokehouse Thick Hickory Smoked Slab Bacon,$4.99/lb,was $8.99/lb,1 lb,https://www.hy-vee.com/aisles-online/p/2199421/Country-Smokehouse-Thick-Hickory-Smoked-Slab-Bacon
21,Hickory Country Bacon,$4.19,was $5.99,16 oz Package,https://www.hy-vee.com/aisles-online/p/104466/Hickory-Country-Bacon
22,Hy-Vee Hickory House Applewood Naturally Smoked Thick Sliced Bacon,$7.39,was $8.99,24 oz Package,https://www.hy-vee.com/aisles-online/p/23975/HyVee-Hickory-House-Applewood-Naturally-Smoked-Thick-Sliced-Bacon
23,Hy-Vee Sweet Smoked Thick Sliced Bacon,$4.79,was $6.99,16 oz,https://www.hy-vee.com/aisles-online/p/23949/HyVee-Sweet-Smoked-Thick-Sliced-Bacon
24,Hy-Vee Fully Cooked Hickory Smoked Bacon,$4.99,,2.52 oz Box,https://www.hy-vee.com/aisles-online/p/23963/HyVee-Fully-Cooked-Hickory-Smoked-Bacon
25,Hormel Black Label Applewood Thick Cut Bacon,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/11173/Hormel-Black-Label-Applewood-Thick-Cut-Bacon
26,Farmland Naturally Applewood Smoked Classic Cut Bacon,$7.39,,16 oz,https://www.hy-vee.com/aisles-online/p/21317/Farmland-Naturally-Applewood-Smoked-Classic-Cut-Bacon
27,Farmland Naturally Hickory Smoked Thick Cut Bacon Package,$13.69,,24 oz Zip Pak,https://www.hy-vee.com/aisles-online/p/21238/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon-Package
28,Hy-Vee Lower Sodium Sweet Smoked Bacon,$4.79,was $6.99,16 oz Pack,https://www.hy-vee.com/aisles-online/p/23948/HyVee-Lower-Sodium-Sweet-Smoked-Bacon
29,Wright Naturally Hickory Smoked Bacon,$12.59,,24 oz,https://www.hy-vee.com/aisles-online/p/458259/Wright-Naturally-Hickory-Smoked-Bacon
30,Hormel Natural Choice Uncured Original Bacon 12 oz,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/11384/Hormel-Natural-Choice-Uncured-Original-Bacon-12-oz
31,Jimmy Dean FC Hickory Bacon,$6.29,was $6.49,2.2 oz Package,https://www.hy-vee.com/aisles-online/p/2476490/Jimmy-Dean-FC-Hickory-Bacon
32,Smithfield Hometown Original Bacon,$4.19,was $6.49,12 oz Package,https://www.hy-vee.com/aisles-online/p/1646677/Smithfield-Hometown-Original-Bacon
33,Farmland Naturally Hickory Smoked Lower Sodium Classic Cut Bacon,$7.39,,16 oz Package,https://www.hy-vee.com/aisles-online/p/53849/Farmland-Naturally-Hickory-Smoked-Lower-Sodium-Classic-Cut-Bacon
34,Hormel Black Label Maple Bacon,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/47121/Hormel-Black-Label-Maple-Bacon
35,Oscar Mayer Fully Cooked Original Bacon 2.52 oz. Box,$6.29,was $6.49,2.52 oz Box,https://www.hy-vee.com/aisles-online/p/164627/Oscar-Mayer-Fully-Cooked-Original-Bacon-252-oz-Box
36,Hy-Vee Hickory House Hickory Smoked Thick Sliced Bacon,$7.39,was $8.99,24 oz Package,https://www.hy-vee.com/aisles-online/p/23974/HyVee-Hickory-House-Hickory-Smoked-Thick-Sliced-Bacon
37,Oscar Mayer Selects Smoked Uncured Bacon,$6.29,was $8.99,12 oz Pack,https://www.hy-vee.com/aisles-online/p/50319/Oscar-Mayer-Selects-Smoked-Uncured-Bacon
38,Jimmy Dean FC Applewood Smoked Bacon,$6.29,was $6.49,2.2 oz Package,https://www.hy-vee.com/aisles-online/p/2471760/Jimmy-Dean-FC-Applewood-Smoked-Bacon
39,Oscar Mayer Center Cut Thick Sliced Bacon,$6.29,was $8.99,12 oz Pack,https://www.hy-vee.com/aisles-online/p/16239/Oscar-Mayer-Center-Cut-Thick-Sliced-Bacon
40,Hormel Black Label Original Thick Cut Bacon,$13.69,,24 oz Pack,https://www.hy-vee.com/aisles-online/p/2214511/Hormel-Black-Label-Original-Thick-Cut-Bacon
41,Wright Naturally Smoked Applewood Bacon,$12.59,,24 oz Package,https://www.hy-vee.com/aisles-online/p/1008152/Wright-Naturally-Smoked-Applewood-Bacon
42,Smithfield Naturally Hickory Smoked Thick Cut Bacon,$6.89,,12 oz,https://www.hy-vee.com/aisles-online/p/1813260/Smithfield-Naturally-Hickory-Smoked-Thick-Cut-Bacon
43,Hy-Vee Hickory House Peppered Naturally Smoked Thick Sliced Bacon,$7.39,was $8.99,24 oz Package,https://www.hy-vee.com/aisles-online/p/23976/HyVee-Hickory-House-Peppered-Naturally-Smoked-Thick-Sliced-Bacon
44,Farmland Naturally Applewood Smoked Thick Cut Bacon,$13.69,,24 oz Zip Pak,https://www.hy-vee.com/aisles-online/p/21320/Farmland-Naturally-Applewood-Smoked-Thick-Cut-Bacon
45,Farmland Naturally Hickory Smoked Extra Thick Cut Bacon,$7.39,,16 oz,https://www.hy-vee.com/aisles-online/p/21253/Farmland-Naturally-Hickory-Smoked-Extra-Thick-Cut-Bacon
46,Hormel Black Label Cherrywood Thick Cut Bacon,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/1255920/Hormel-Black-Label-Cherrywood-Thick-Cut-Bacon
47,Hy-Vee Blue Ribbon Maple Naturally Smoked Thick Sliced Bacon,$7.39,was $8.99,24 oz Package,https://www.hy-vee.com/aisles-online/p/57304/HyVee-Blue-Ribbon-Maple-Naturally-Smoked-Thick-Sliced-Bacon
48,Farmland Naturally Hickory Smoked 30% Less Fat Center Cut Bacon,$7.39,,12 oz,https://www.hy-vee.com/aisles-online/p/21252/Farmland-Naturally-Hickory-Smoked-30-Less-Fat-Center-Cut-Bacon
49,Bourbon & Brown Sugar Slab Bacon,$4.99/lb,was $8.99/lb,1 lb,https://www.hy-vee.com/aisles-online/p/2501872/Bourbon-And-Brown-Sugar-Slab-Bacon
50,Hormel Natural ChoiceOriginal Thick Cut Uncured Bacon,$12.59,,20 oz Pack,https://www.hy-vee.com/aisles-online/p/2516586/Hormel-Natural-ChoiceOriginal-Thick-Cut-Uncured-Bacon
51,Farmland Naturally Hickory Smoked Double Smoked Classic Cut Bacon,$7.39,,16 oz,https://www.hy-vee.com/aisles-online/p/21319/Farmland-Naturally-Hickory-Smoked-Double-Smoked-Classic-Cut-Bacon
52,Des Moines Bacon & Meat Company Hardwood Smoked Uncured Country Bacon,$6.29,was $7.49,12 oz Package,https://www.hy-vee.com/aisles-online/p/317829/Des-Moines-Bacon-And-Meat-Company-Hardwood-Smoked-Uncured-Country-Bacon
53,Hormel Black Label Jalapeno Thick Cut Bacon,$8.39,,12 oz Pack,https://www.hy-vee.com/aisles-online/p/1255919/Hormel-Black-Label-Jalapeno-Thick-Cut-Bacon
54,"Oscar Mayer Bacon, Thick Cut, Applewood",$7.29,was $9.49,16 oz,https://www.hy-vee.com/aisles-online/p/3538865/Oscar-Mayer-Bacon-Thick-Cut-Applewood
55,Des Moines Bacon & Meat Company Applewood Smoked Bacon,$6.29,was $7.49,12 oz Package,https://www.hy-vee.com/aisles-online/p/317830/Des-Moines-Bacon-And-Meat-Company-Applewood-Smoked-Bacon
56,Oscar Mayer Natural Fully Cooked Uncured Bacon,$7.39,,2.52 oz,https://www.hy-vee.com/aisles-online/p/3308731/Oscar-Mayer-Natural-Fully-Cooked-Uncured-Bacon
