,Bacon,Current Price,Weight,Sale,Store Location,Url
0,Applegate Natural Hickory Smoked Uncured Sunday Bacon 8 oz,$6.99,8 oz,$5.49,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/sliced/applegate_natural_hickory_smoked_uncured_sunday_bacon_8_oz/p/19959#!/?department_id=1322093
1,Beeler Hickory Smoked Bacon,$7.49,12 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7703726#!/?department_id=1322093
2,Beeler Bacon Ends And Pieces,$2.99,16 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/beeler_bacon_ends_and_pieces/p/1564405684703446698#!/?department_id=1322093
3,Beeler Hickory Smoked Bacon,$18.99,32 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7791059#!/?department_id=1322093
4,Sorry!,None in stock,None in stock,None in stock,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_classic_dry_rubbed_uncured/p/7703238#!/?department_id=1322093
5,Garrett Valley Turkey Bacon Sugar Free Paleo,$6.99,8 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/turkey/garrett_valley_turkey_bacon_sugar_free_paleo/p/7703237#!/?department_id=1322093
6,Beeler Pepper Bacon,$7.49,12 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/beeler_pepper_bacon/p/1564405684702577823#!/?department_id=1322093
7,"Plainville Farms Turkey Bacon, Uncured",$5.49,8 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/turkey/plainville_farms_turkey_bacon_uncured/p/4750634#!/?department_id=1322093
8,Garrett Valley Pork Bacon 8 oz,$8.49,8 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_8_oz/p/6572556#!/?department_id=1322093
9,Herbivorous Butcher Hickory Maple Bacon,$12.99,8 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/refrigerated/meat_alternatives/herbivorous_butcher_hickory_maple_bacon/p/1564405684704334152#!/?department_id=1322093
10,New Pi Bulk Bacon,$8.99,lb,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/pork/new_pi_bulk_bacon/p/1564405684704337543#!/?department_id=1322171
11,Niman Ranch Uncured Bacon 12 oz,$10.79,12 oz,,"3338 Center Point Road Northeast Cedar Rapids, IA 52402",https://shop.newpi.coop/shop/meat/pork/niman_ranch_uncured_bacon_12_oz/p/7276#!/?department_id=1322171
12,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/sliced/applegate_natural_hickory_smoked_uncured_sunday_bacon_8_oz/p/19959#!/?department_id=1322093
13,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7703726#!/?department_id=1322093
14,Beeler Bacon Ends And Pieces,$2.99,16 oz,,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/beeler_bacon_ends_and_pieces/p/1564405684703446698#!/?department_id=1322093
15,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7791059#!/?department_id=1322093
16,"Garrett Valley Pork Bacon, Classic Dry Rubbed, Uncured",$7.99,8 oz,,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_classic_dry_rubbed_uncured/p/7703238#!/?department_id=1322093
17,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/turkey/garrett_valley_turkey_bacon_sugar_free_paleo/p/7703237#!/?department_id=1322093
18,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/beeler_pepper_bacon/p/1564405684702577823#!/?department_id=1322093
19,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/turkey/plainville_farms_turkey_bacon_uncured/p/4750634#!/?department_id=1322093
20,Garrett Valley Pork Bacon 8 oz,$8.49,8 oz,,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_8_oz/p/6572556#!/?department_id=1322093
21,Herbivorous Butcher Hickory Maple Bacon,$12.99,8 oz,,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/refrigerated/meat_alternatives/herbivorous_butcher_hickory_maple_bacon/p/1564405684704334152#!/?department_id=1322093
22,Sorry!,None in stock,None in stock,None in stock,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/pork/new_pi_bulk_bacon/p/1564405684704337543#!/?department_id=1322171
23,Niman Ranch Uncured Bacon 12 oz,$10.79,12 oz,,"22 South Van Buren Street Iowa City, IA 52240",https://shop.newpi.coop/shop/meat/pork/niman_ranch_uncured_bacon_12_oz/p/7276#!/?department_id=1322171
24,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/sliced/applegate_natural_hickory_smoked_uncured_sunday_bacon_8_oz/p/19959#!/?department_id=1322093
25,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7703726#!/?department_id=1322093
26,Beeler Bacon Ends And Pieces,$2.99,16 oz,,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/beeler_bacon_ends_and_pieces/p/1564405684703446698#!/?department_id=1322093
27,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/beeler_hickory_smoked_bacon/p/7791059#!/?department_id=1322093
28,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_classic_dry_rubbed_uncured/p/7703238#!/?department_id=1322093
29,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/turkey/garrett_valley_turkey_bacon_sugar_free_paleo/p/7703237#!/?department_id=1322093
30,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/beeler_pepper_bacon/p/1564405684702577823#!/?department_id=1322093
31,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/turkey/plainville_farms_turkey_bacon_uncured/p/4750634#!/?department_id=1322093
32,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/bacon/garrett_valley_pork_bacon_8_oz/p/6572556#!/?department_id=1322093
33,Herbivorous Butcher Hickory Maple Bacon,$12.99,8 oz,,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/refrigerated/meat_alternatives/herbivorous_butcher_hickory_maple_bacon/p/1564405684704334152#!/?department_id=1322093
34,Sorry!,None in stock,None in stock,None in stock,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/pork/new_pi_bulk_bacon/p/1564405684704337543#!/?department_id=1322171
35,Niman Ranch Uncured Bacon 12 oz,$10.79,12 oz,,"1101 2nd St Coralville, IA 52241",https://shop.newpi.coop/shop/meat/pork/niman_ranch_uncured_bacon_12_oz/p/7276#!/?department_id=1322171
